combo,character,verb,verb_type,best_version,combined_score,gemini_score,gemini_recommendation,clip_clarity,clip_verdict,issues
"chef_ride_bicycle","chef","ride","irregular","v2",80.0,35,"keep",60,"ambiguous",""
"chef_shake_bottle","chef","shake","irregular","v2",100.0,35,"keep",,"unclear",""
"chef_smell_flower","chef","smell","regular","v1",75.7,32,"keep",60,"ambiguous","The chef is smelling a flower. It's an action but not dynamic.; The flower is being smelled, but the image is relatively static - could be better for 'will smell' than 'smelled'."
"chef_spin_top","chef","spin","practice","v3",91.4,32,"keep",,"unclear","The spinning top could suggest that the action has already been in progress to reach that stage.; The chef is leaning towards the spinning top, it could suggest it's about to spin more than currently spinning."
"chef_stir_pot","chef","stir","regular","v4",69.6,33,"keep",45,"unclear",""
"chef_sweep_floor","chef","sweep","irregular","v1",77.1,27,"maybe",,"unclear","There is dirt/dust being swept up, which implies a result state of the action.; The 'will sweep' tense feels more natural; 'swept' implies a cleaner area."
"chef_wash_dish","chef","wash","regular","v3",91.4,32,"keep",,"unclear","Water droplets suggest ongoing action, which biases towards present tense.; The sponge is already sudsy, suggesting action has already been taking place.; The plate looks like it may have already had food on it; a clean plate would suggest 'will wash' more strongly."
"pirate_blow_bubbles","pirate","blow","irregular","v5",75.7,32,"keep",60,"ambiguous",""
"pirate_build_tower","pirate","build","irregular","v3",61.1,27,"maybe",45,"unclear","Slightly feels like the tower is already built - hints at completion.; Hands are close to the object, a slight anticipatory setup.; The wood block appears to be already slightly misaligned. Is this an indication it has been in play for a while?"
"pirate_carry_box","pirate","carry","regular","v4",74.3,31,"keep",60,"ambiguous","The character looks slightly strained, hinting at past duration of carrying the box.; Box shows no signs of wear and tear, which is good.; The tense 'will carry' sounds slightly more natural than 'carried'."
"pirate_climb_ladder","pirate","climb","regular","v1",80.0,35,"keep",60,"ambiguous",""
"pirate_dig_hole","pirate","dig","irregular","v4",56.8,24,"maybe",45,"unclear","Hole is already present, implying completion of digging to some extent.; Dirt pile suggests a result state of the digging action.; Pose is slightly anticipatory - could be about to dig."
"pirate_drag_sack","pirate","drag","practice","v3",68.2,32,"keep",45,"unclear",""
"pirate_drink_coffee","pirate","drink","irregular","v2",85.7,30,"keep",,"unclear","The pirate kissing the mug could be seen as anticipatory, as he could be about to drink, rather than actively drinking.; The pirate kissing the mug could be seen as being done.; The mug could be being held after it had finished being used."
"pirate_eat_apple","pirate","eat","irregular","v5",63.9,29,"maybe",45,"unclear","The character is holding the apple, but is not in the act of eating, thus not in mid-action.; The character looks like he will eat the apple, leans towards future tense more."
"pirate_paint_canvas","pirate","paint","regular","v2",66.8,31,"maybe",45,"unclear","The image is better suited to a future tense.; The paintbrush is held, not necessarily mid-stroke, but it does look like the pirate is about to paint rather than painting right now.; There is no evidence the pirate has painted before but it looks like the action is about to begin."
"pirate_peel_banana","pirate","peel","regular","v5",91.4,32,"keep",,"unclear","The pirate's pose is somewhat static, not clearly showing him acting.; It is implied that the pirate is about to eat the bananas, so it leans anticipatory.; The action itself feels a bit ambiguous - is he peeling, eating, or simply holding the bananas?"
"pirate_play_guitar","pirate","play","regular","v5",80.0,35,"keep",60,"ambiguous",""
"pirate_push_cart","pirate","push","regular","v3",69.6,33,"keep",45,"unclear","Pirate is pushing an empty shopping cart. The action is not clear.; The pirate doesn't have any merchandise in their shopping cart."
"pirate_read_book","pirate","read","irregular","v2",69.6,33,"keep",45,"unclear",""
"pirate_ride_bicycle","pirate","ride","irregular","v3",80.0,35,"keep",60,"ambiguous",""
"pirate_shake_bottle","pirate","shake","irregular","v4",85.7,30,"maybe",,"unclear","The bottle appears to be moving or being shaken. This creates a sense of anticipation for an imminent action.; The way the character is gripping the bottle creates the impression that something is about to happen rather than it currently happening. The shaking of the bottle is suggestive of "about to"."
"pirate_smell_flower","pirate","smell","regular","v3",94.3,33,"keep",,"unclear",""
"pirate_spin_top","pirate","spin","practice","v5",94.3,33,"keep",,"unclear","The ripples could be considered a result state of the top spinning, though very minimal."
"pirate_stir_pot","pirate","stir","regular","v3",72.5,35,"keep",45,"unclear",""
"pirate_sweep_floor","pirate","sweep","irregular","v4",74.3,26,"maybe",,"unclear","Some dirt/dust particles are on the ground that imply the cleaning is underway, and it seems the character has been sweeping already.; The action may be construed as preparation for future sweeping since it is not a clear mid-action."
"pirate_wash_dish","pirate","wash","regular","v3",72.5,35,"keep",45,"unclear",""
"wizard_blow_bubbles","wizard","blow","irregular","v5",72.5,35,"keep",45,"unclear",""
"wizard_build_tower","wizard","build","irregular","v2",80.0,28,"maybe",,"unclear","The wizard's hand positions give a slightly 'about to' or 'just finished' feeling. He is either about to place the block, or just removed it.; The structure of the wooden blocks has been somewhat constructed already, which could be interpreted as a state of completion, even though the action is technically in progress."
"wizard_carry_box","wizard","carry","regular","v1",69.6,33,"keep",45,"unclear",""
"wizard_climb_ladder","wizard","climb","regular","v1",72.5,35,"keep",45,"unclear",""
"wizard_dig_hole","wizard","dig","irregular","v4",71.4,25,"maybe",,"unclear","The image shows a pile of dirt next to a hole in the ground, implying the action has already had a result, therefore fails no_result_states test.; Wizard is actively digging, so is likely to be at mid-action, but the hole might imply he will stop soon. Fails both_tenses test.; The pile of dirt implies the wizard has already been digging for a while, even though there is no exhaustion shown, or duration cues."
"wizard_drag_sack","wizard","drag","practice","v1",63.9,29,"maybe",45,"unclear","The bag has a star on it, making it less fresh.; There are dust clouds, which are results of the action.; The wizard is clearly pulling something, but what he's pulling lacks clarity. It could be interpreted as having pulled something, reducing the image's ambiguity."
"wizard_drink_coffee","wizard","drink","irregular","v5",88.6,31,"maybe",,"unclear","The wizard is holding a mug of steaming liquid. The action is 'drink', but he is only holding the mug, not actively drinking. This makes it difficult to conceptualize the action. It seems less 'drink' and more 'hold'.; The smoke from the drink implies it has been sitting for a while, adding a slight duration cue."
"wizard_eat_apple","wizard","eat","irregular","v4",65.4,30,"maybe",45,"unclear","The apple is slightly too close to the mouth - feels more like he is about to eat it, rather than actively eating it.; Could benefit from a slightly more dynamic pose to cement the 'eating' action.; The beard position makes it hard to determine the actual 'eating' stage. Could be interpreted as just holding the apple"
"wizard_paint_canvas","wizard","paint","regular","v2",68.2,32,"keep",45,"unclear","The wizard is holding the brush, which is good, but the hand doesn't seem entirely in the middle of the act; it is somewhat still before it goes into the canvas.; The canvas is untouched and is still a 'blank canvas'.; The brush has nothing on it and doesn't seem to have been used for this image."
"wizard_peel_banana","wizard","peel","regular","v1",88.6,31,"maybe",,"unclear","The bananas are peeled, so it's possible the action of peeling has already happened (completion).; The wizard is holding bananas, not doing anything with them, so the 'mid-action' score suffers.; It feels slightly more natural to say 'The wizard will peel bananas' than 'The wizard peeled bananas' because of the peeled state of the fruit."
"wizard_play_guitar","wizard","play","regular","v1",78.6,34,"keep",60,"ambiguous",""
"wizard_push_cart","wizard","push","regular","v1",72.5,35,"keep",45,"unclear",""
"wizard_read_book","wizard","read","irregular","v2",72.5,35,"keep",45,"unclear",""
"wizard_ride_bicycle","wizard","ride","irregular","v5",80.0,35,"keep",60,"ambiguous",""
"wizard_shake_bottle","wizard","shake","irregular","v3",65.4,30,"maybe",45,"unclear","The 'WHOOSH' implies that the action is already underway, creating a temporal bias toward the past tense.; The sparks/water droplets also suggest the action is already in progress."
"wizard_smell_flower","wizard","smell","regular","v2",66.8,31,"maybe",45,"unclear","The wizard is merely holding the flower. The action of "smelling" isn't visually represented; he's not sniffing, no nose near the flower, facial expression lacks the action."
"wizard_spin_top","wizard","spin","practice","v5",88.6,31,"keep",,"unclear","The spinning top suggests some duration.; It is hard to tell what action the wizard is performing. Is he starting the spinning or observing it?"
"wizard_stir_pot","wizard","stir","regular","v2",69.6,33,"keep",45,"unclear",""
"wizard_sweep_floor","wizard","sweep","irregular","v3",88.6,31,"keep",,"unclear","The action is too static. The wizard is holding the broom, but it's unclear if sweeping is happening or is about to happen.; The broom is being held at a strange angle, which affects the believability of sweeping happening."
"wizard_wash_dish","wizard","wash","regular","v5",94.3,33,"keep",,"unclear",""
